"","purchaseId","customer","n_items","value","region","office","predictor","profit"
"2308",2308,28,5,611.294095727856,"Asia",3,27359.4511693271,-64.02348521105
"2309",2309,87,8,815.856968238591,"NA",2,5671.90861118585,-338.026142619946
"2312",2312,13,9,1097.5376011802,"NA",3,49437.4736574108,-169.536965512718
"2314",2314,40,9,1364.17410991859,"NA",2,38090.1916237471,204.481465494461
"2315",2315,28,4,756.519095085361,"Asia",1,15440.5561337555,353.584693309912
"2317",2317,6,5,520.78315330862,"EU",2,61636.2341021723,-141.537686951032
"2318",2318,61,7,684.869512434673,"EU",1,80398.3028011064,-68.0802618153151
"2320",2320,33,6,992.451088076912,"NA",1,77460.8570729038,422.538969026694
"2321",2321,92,10,1056.61274054766,"EU",2,78068.6226078914,-259.053190670195
"2323",2323,35,8,1276.8598275181,"Asia",1,80242.9845918878,432.716587508805
"2324",2324,46,11,1502.1542758138,"NA",2,78105.4489926815,-12.6960281491267
"2325",2325,5,5,667.976876951425,"SA",2,43141.7507253089,-5.43965345787512
"2327",2327,70,13,1935.31739126176,"EU",4,10912.4434901015,234.331600531678
"2331",2331,47,12,1623.37625490233,"SA",3,29542.2230052052,9.39512065601389
"2332",2332,83,7,962.492476327171,"Asia",2,95492.5534979075,-42.7129273744841
"2339",2339,1,3,663.125541382766,"Asia",3,42439.2764989114,130.662792126847
"2341",2341,36,8,1462.1605969,"Asia",1,52980.9466011159,507.049217548862
"2342",2342,56,5,610.733077304042,"SA",1,44762.4229708097,59.4355879863615
"2344",2344,98,11,1885.7338835915,"EU",3,34950.6739445433,425.224630053145
"2345",2345,51,2,269.62432118377,"NA",2,75369.5566136905,-112.730837738331
"2346",2346,20,10,1712.4846460822,"Asia",3,65032.4944517808,324.707320452277
"2348",2348,33,7,802.250486197507,"Asia",2,92047.4202031901,-114.931936839884
"2349",2349,57,6,1008.85939532198,"Asia",1,52874.47193079,357.092893094742
"2351",2351,74,13,1234.32136872072,"Asia",4,10307.1499631864,-442.450813942819
"2352",2352,30,5,460.892096478169,"Asia",2,82449.6927385333,-181.165068678069
"2354",2354,16,11,1782.69491327715,"NA",2,48136.9072140434,329.155206253191
"2355",2355,53,4,822.182414376759,"EU",4,47697.903744445,186.854812761289
"2356",2356,72,13,1710.15689998435,"Asia",2,78936.4154853083,3.66028970889988
"2357",2357,8,7,1121.89799982002,"Asia",1,1076.91321672569,393.818483417372
"2359",2359,42,11,1254.61529805652,"Asia",2,76402.3982941092,-182.296959356146
"2360",2360,14,8,1046.7691197053,"Asia",4,46009.4580401347,-50.5492231256233
"2361",2361,26,3,433.300914007292,"Asia",4,78659.3494640852,-11.3572122806922
"2363",2363,32,5,610.735473694453,"SA",2,16758.7470752411,-135.529257765626
"2364",2364,27,4,623.615286555797,"EU",3,81145.4384809134,46.8234915292655
"2368",2368,45,10,1530.32967502637,"SA",2,47569.2115485412,141.413034966562
"2369",2369,42,10,1161.13174470556,"Asia",2,66703.762315813,-232.683652292672
"2371",2371,39,9,1222.86385464189,"NA",2,56223.2444542204,-68.1835351661935
"2373",2373,76,4,554.869179292683,"Asia",3,47335.6301965734,14.1826175297178
"2374",2374,61,7,939.519465414216,"Asia",4,49144.2221567554,-12.0342154355919
"2375",2375,71,11,1474.99456896151,"Asia",2,60729.3346125763,-0.0617475982962787
"2377",2377,44,10,1710.61946555046,"NA",2,80398.7781899606,337.329216624429
"2378",2378,58,7,950.68866544414,"NA",4,72756.89374282,47.5203653756921
"2385",2385,71,11,1882.61696568872,"Asia",3,32579.7507530933,389.464557479743
"2387",2387,25,3,397.186899688916,"NA",3,87862.5750759146,-78.7003186416592
"2389",2389,51,4,517.61663723707,"NA",4,76175.5650052051,-30.949291028721
"2391",2391,38,8,1278.32814294388,"SA",3,97074.8293740051,174.284439097415
"2392",2392,42,9,1544.33935629937,"SA",2,41577.8155039446,255.935738249486
"2393",2393,14,9,1395.14911652395,"Asia",3,25610.3747598315,147.29392943124
"2394",2394,41,10,1317.50991122336,"EU",2,13203.5232631776,17.3141949651852
"2395",2395,54,6,598.357596916293,"NA",2,93564.224477618,-186.198336893257
"2397",2397,23,13,1195.01780732545,"Asia",2,37944.6378848318,-484.8693427046
"2399",2399,44,11,1151.3537869767,"Asia",2,59466.7628166368,-325.477567349994
"2403",2403,24,13,1298.71669565108,"Asia",2,31244.3871634011,-472.001432277621
"2406",2406,60,7,676.468371910927,"EU",1,17837.5370511683,-155.282065016796
"2408",2408,4,3,510.449015540204,"SA",4,91781.4965069576,25.7011458656031
"2409",2409,31,5,513.623458242393,"NA",3,67185.6789542839,-242.868183632907
"2411",2411,16,9,1067.8569926829,"NA",2,80157.0336444285,-145.321660404964
"2412",2412,76,3,369.388279350854,"NA",2,27464.697740138,-44.6892482829755
"2413",2413,56,6,783.187566821123,"NA",1,72969.3586841617,200.066723661999
"2414",2414,22,12,1603.04416627072,"Asia",3,45417.0925848233,-52.4194711528448
"2415",2415,84,7,982.019799398003,"Asia",3,27744.0118118771,53.410587842191
"2416",2416,59,7,1155.04875297091,"NA",2,61025.5180270756,187.412433179174
"2417",2417,29,4,825.868234244117,"NA",4,38044.9014873204,175.465217457816
"2418",2418,30,5,694.659915953583,"Asia",2,29168.0153763739,-79.0439271286571
"2420",2420,26,3,582.794423445705,"Asia",1,44836.6050057162,280.211319039582
"2421",2421,55,6,914.72632599973,"NA",2,19962.4597817443,106.976155501226
"2424",2424,37,7,687.173309496098,"NA",2,48109.7355675716,-342.267416065443
"2425",2425,10,7,1152.74645628215,"SA",1,84506.4175409982,304.51495820006
"2428",2428,89,9,1191.96875428266,"EU",3,70133.4246346322,46.0389631780749
"2429",2429,63,7,1044.44985753129,"EU",2,4281.91239280254,14.6881289979151
"2430",2430,12,8,1286.2414947143,"Asia",3,3739.5586226075,133.328920243481
"2431",2431,88,8,1095.17065901608,"EU",3,45744.5622576317,-36.7205601923647
"2432",2432,49,13,1811.64140713581,"Asia",4,38271.8629249292,108.514331571414
"2433",2433,82,5,891.100920273874,"Asia",2,34807.9089067751,124.457716701702
"2434",2434,85,7,1276.69287904675,"SA",1,32829.5507159627,461.962599585878
"2437",2437,34,7,1015.16402523055,"Asia",3,98818.4823505715,35.9648027977507
"2439",2439,81,6,912.338685657274,"NA",2,63145.8222122085,145.937887984712
"2440",2440,81,5,842.657631516257,"EU",2,97534.8404069922,70.1679705743268
"2442",2442,50,3,499.133835490287,"SA",4,77750.2195956423,65.9065218513459
"2444",2444,58,7,904.705672686856,"NA",4,48633.0478232384,-74.6047260093588
"2446",2446,67,11,1529.44437332446,"Asia",2,6260.71998882922,84.7750407397789
"2447",2447,12,9,972.587806053723,"NA",2,31221.3919679672,-203.160513422028
"2448",2448,23,13,2267.85999911645,"EU",3,3130.72289226833,471.902292644845
"2450",2450,90,9,1554.65967555733,"EU",2,1908.69449204206,300.644805349291
"2451",2451,23,13,1150.30525970477,"Asia",3,87170.8340020264,-538.451419114283
"2452",2452,100,3,489.236098291687,"Asia",4,75337.7642564722,40.1758028230849
"2453",2453,100,4,489.345869353949,"Asia",1,94977.9516056289,101.978205114631
"2454",2454,19,11,1540.21195768319,"Asia",2,99097.6642922417,100.543377062732
"2456",2456,80,6,597.45459092369,"Asia",1,75011.7552321001,-3.96291338505807
"2457",2457,74,13,1063.20813135107,"Asia",3,85296.8311850822,-615.34606606746
"2458",2458,81,5,931.140022125385,"Asia",3,63625.8779238034,170.641042255168
"2459",2459,44,11,1354.13595849437,"Asia",1,35932.4410087375,132.66895090831
"2460",2460,39,8,910.355573500885,"Asia",4,23995.3953529035,-217.855124264519
"2461",2461,85,7,898.992268672232,"EU",4,41478.1346008808,-34.5213571150698
"2463",2463,53,4,505.822811106464,"EU",4,31475.6042369578,-137.202081377766
"2464",2464,61,7,1101.24207727452,"Asia",3,86448.1785199314,75.868192581391
"2466",2466,73,11,1669.00532274867,"EU",4,41182.9963526891,145.319450957948
"2468",2468,72,12,1149.87823634874,"Asia",3,14760.3275120307,-449.850478614758
"2471",2471,32,7,775.69591926305,"NA",2,50362.2232790454,-153.419875068377
"2472",2472,81,6,912.375672267303,"SA",4,43838.3033360308,79.6774347637302
"2473",2473,61,8,1047.7442722383,"Asia",2,99943.0871648169,11.4305428778907
"2474",2474,6,6,902.8612815383,"NA",3,64479.9871551676,61.6012965691579
"2475",2475,23,13,1503.7744699703,"NA",2,61908.4393200902,-246.441036933275
"2476",2476,36,6,1027.61305183703,"Asia",3,86428.6880891284,128.817189505465
"2479",2479,86,7,729.521699834438,"NA",2,95619.1573169539,-230.255070999542
"2481",2481,79,4,768.085178686638,"NA",2,90041.667409511,157.205507338384
"2482",2482,22,12,1116.61123690741,"Asia",2,434.156030638609,-530.94824105764
"2483",2483,79,4,643.14402654486,"EU",2,81873.4807021951,42.7206209041162
"2488",2488,2,3,271.81534119454,"SA",2,72280.4114569263,-134.046507557785
"2491",2491,67,11,1117.54056855793,"NA",3,29374.6014726015,-303.097316818461
"2496",2496,62,8,1309.08301661988,"Asia",3,34475.6342628915,254.662856897281
"2499",2499,93,11,1165.18297313732,"NA",1,1268.09690499399,-160.382675864954
"2501",2501,24,14,1908.63683560784,"SA",2,98686.6092542235,97.5523357728321
"2504",2504,59,6,726.497731774096,"NA",1,88806.5541278108,47.5481267833353
"2506",2506,70,11,1610.74858483285,"EU",1,8725.3953896868,327.382636177569
"2507",2507,46,12,2004.50720877143,"Asia",1,35639.4894608008,639.182662069755
"2508",2508,10,6,814.294557977214,"EU",4,82612.1854591579,-68.294700123972
"2509",2509,72,12,1854.49463774604,"Asia",3,12038.4106992341,287.685778881709
"2513",2513,90,10,1199.16005992493,"EU",2,67451.8625800477,-95.7978947527445
"2514",2514,87,8,1132.65074086988,"NA",2,12306.7745759084,56.8416890634037
"2515",2515,82,6,876.858099754588,"SA",3,89743.0522196721,83.7252961968982
"2516",2516,69,11,1524.9616145339,"NA",3,33528.8237160039,93.8382352737101
"2517",2517,27,4,771.668745249332,"NA",1,69988.0786484226,338.0794714595
"2518",2518,92,9,887.000226937532,"NA",4,91427.1305537259,-349.488431332649
"2520",2520,87,8,1337.58614028943,"SA",3,65454.8062731894,228.821072740229
"2523",2523,17,10,1085.35558884612,"Asia",2,28019.7401878629,-305.436802040936
"2524",2524,71,11,1909.31732452537,"EU",3,75265.2542082639,411.66463350658
"2526",2526,75,2,255.964693183139,"SA",2,3832.39544421039,-93.789709653631
"2527",2527,93,11,1713.52931029103,"Asia",2,40790.8209436715,275.804926887743
"2528",2528,35,8,1174.9415266409,"Asia",2,34990.3602759449,97.7811168442936
"2529",2529,81,5,561.648658558541,"Asia",2,59538.864623677,-201.483685143292
"2531",2531,44,12,2011.42684958868,"Asia",4,41452.8490267431,368.359715888871
"2532",2532,85,9,1373.04592868173,"EU",3,64866.6983164523,189.218518422187
"2533",2533,10,7,590.096718172222,"NA",4,53726.8116436747,-353.459746082613
"2534",2534,29,5,787.904762334062,"NA",4,95165.6886897795,90.4895794125432
"2538",2538,55,5,920.374644431148,"Asia",2,99888.8690403756,197.170602902348
"2539",2539,82,5,588.245093563017,"Asia",4,55692.0299123994,-108.08101264151
"2542",2542,6,6,994.037786819911,"NA",2,59066.1366478025,118.919999600981
"2548",2548,95,11,1194.32518924807,"SA",1,53179.5146256681,-118.683178492253
"2550",2550,12,8,849.633626512731,"EU",3,26803.8496775343,-288.868254159516
"2551",2551,70,12,1480.4582804174,"NA",2,28970.7284430612,-67.0490592557958
"2554",2554,20,11,1747.8666986391,"Asia",4,1012.84149530204,296.13284395791
"2555",2555,100,3,491.918034057175,"SA",2,64006.4215794287,78.9217764519932
"2556",2556,84,7,1144.52789647299,"NA",3,20306.4772381266,228.627297887658
"2557",2557,15,9,1335.71968590912,"NA",4,16210.6487087386,110.596362742316
"2558",2558,10,7,1070.1188382677,"Asia",2,51178.9337870548,89.415080205255
"2560",2560,85,7,658.241021307025,"NA",1,38725.7896185312,-135.47982021213
"2564",2564,65,9,1524.96133003218,"EU",3,40122.4889641134,315.787167248109
"2565",2565,15,9,1357.37253725519,"NA",3,61862.8242950323,118.670882031425
"2571",2571,99,13,1656.56497183563,"NA",2,79970.0458250795,-88.2463466044705
"2573",2573,95,11,944.713473564956,"SA",2,64060.4910429907,-572.884721720865
"2575",2575,12,8,1285.84282091235,"Asia",3,91363.2755954638,187.17139605496
"2576",2576,69,11,1728.86955875804,"Asia",2,59029.3726842839,201.696761668624
"2577",2577,45,11,1932.74648288467,"EU",1,76030.6391809734,585.227191986843
"2578",2578,30,6,609.574423415876,"NA",1,27000.0258102373,42.206811746107
"2579",2579,81,6,1028.34791346702,"EU",3,95292.1584229991,213.710210484824
"2580",2580,75,2,364.467813294832,"NA",2,96248.7247789765,38.1249411659043
"2582",2582,61,7,972.805321893539,"Asia",2,10873.6836524152,30.8745830741296
"2583",2583,88,8,1200.85859494597,"Asia",3,50146.0960880003,45.1974738445667
"2584",2584,94,11,1302.29517678661,"SA",4,40610.6015365811,-123.424741595566
"2586",2586,30,6,850.265732363169,"EU",3,85864.7851503175,71.4055040079928
"2587",2587,25,2,244.27081914467,"EU",3,15156.3319223912,-100.405889534805
"2591",2591,72,11,1110.18438295468,"EU",3,66000.7938414677,-434.77580405055
"2592",2592,61,7,1068.27462325649,"Asia",2,18163.390639357,58.5554036685147
"2593",2593,90,10,1539.48031677997,"Asia",2,63570.6657155869,227.112398627535
"2594",2594,39,9,1228.66930728279,"Asia",3,1960.86396013666,21.4692997684449
"2595",2595,39,8,826.76868616779,"NA",1,72240.0173507289,-129.025026923725
"2599",2599,2,3,601.460499948,"NA",1,25151.9003238771,335.605522921422
"2600",2600,68,10,837.176093818793,"Asia",3,70350.0391586241,-534.988971534153
"2601",2601,28,4,500.740065674075,"EU",4,65650.2473901836,-74.6135439290723
"2605",2605,43,11,1764.75879630561,"Asia",2,21093.1150355721,352.173609615174
"2606",2606,54,5,617.678166064707,"Asia",4,30650.5571015719,-49.3729437040122
"2607",2607,21,11,1462.23636613871,"Asia",3,86827.3344722316,-45.4250744049948
"2608",2608,93,10,1410.62244613706,"EU",2,6012.68069696333,16.4260330011377
"2609",2609,33,6,982.5082589982,"Asia",3,50391.0746421155,134.662968973958
"2610",2610,59,8,1059.27485080527,"EU",3,90746.0991632526,-1.81948268421047
"2613",2613,19,11,1487.95274758828,"Asia",2,33207.16234133,3.27329732805583
"2616",2616,76,4,424.806580616661,"EU",1,74616.6050688287,57.2862493024707
"2617",2617,79,5,709.836442618663,"Asia",2,42522.0130419319,52.7990277634584
"2618",2618,39,8,1178.12640717879,"Asia",4,40148.0955852151,39.1146194348992
"2619",2619,62,8,841.784605793025,"Asia",2,67139.733755392,-262.061807766313
"2620",2620,56,6,768.306942610453,"Asia",2,5117.16206496698,-8.704796605046
"2621",2621,83,5,558.353291188422,"Asia",3,97413.1896378295,-141.739224445693
"2623",2623,30,5,538.26947225483,"Asia",2,15776.9459482643,-125.447723291681
"2624",2624,2,4,486.101081625339,"Asia",2,70806.3330642739,-60.9680002780587
"2626",2626,86,8,997.588429773902,"EU",2,31147.0821801641,-29.1973763411544
"2627",2627,36,7,902.063183190933,"Asia",4,93880.4359700661,-56.7661023577891
"2629",2629,31,7,1148.12184077478,"EU",2,79349.7214841964,199.374982269186
"2630",2630,36,8,1204.15977776214,"Asia",3,75568.3727168126,139.176058252317
"2631",2631,32,6,746.673855415777,"Asia",1,74371.0648629684,102.857755614931
"2632",2632,82,6,544.613523763685,"EU",2,59980.716025946,-296.292612891117
"2633",2633,41,9,1021.10707244191,"Asia",2,62340.6829455122,-247.339752814156
"2634",2634,38,10,1700.65689541366,"Asia",3,13800.5541089892,315.043102821956
"2639",2639,79,6,694.903148709425,"NA",3,50287.602712007,-121.584585349188
"2640",2640,52,3,647.933162166029,"NA",4,3405.99590263492,147.150627984267
"2641",2641,18,10,930.61807393844,"Asia",2,35889.5540097677,-365.142116443778
"2642",2642,63,8,1165.17814522736,"SA",3,51332.5194742132,11.2540466319062
"2643",2643,35,7,1151.97644320221,"NA",2,23756.7894960421,192.758504354804
"2645",2645,16,9,930.364661892914,"EU",2,88258.7404637723,-320.121531923085
"2647",2647,13,8,1001.31909570538,"SA",3,6131.98381165671,-105.426402198396
"2648",2648,33,8,1166.5193196784,"SA",1,45743.2424004776,306.920529096809
"2649",2649,78,6,624.75018552682,"Asia",3,42450.5471821523,-197.824893812834
"2651",2651,93,10,1285.70833846626,"Asia",3,65637.2445108423,-120.146665443531
"2652",2652,7,6,627.39981483855,"NA",4,22056.5783250381,-222.670119065072
"2653",2653,73,13,2078.71650457526,"NA",3,5370.18954050937,351.802813071576
"2656",2656,23,12,1638.45534285749,"Asia",3,60961.8549193454,69.5306080059718
"2657",2657,4,3,301.178017666515,"SA",3,48426.1552085336,-113.733943690813
"2660",2660,24,12,1919.73542092779,"Asia",2,94691.9986905889,283.333816940438
"2662",2662,89,9,1509.51598641097,"Asia",4,49396.7603203102,288.049416808409
"2665",2665,54,5,879.155351273623,"EU",3,24826.2672008201,155.152859923052
"2668",2668,95,11,1875.39765620078,"SA",2,41923.3801044824,341.289351233872
"2670",2670,18,10,1251.27875360762,"EU",2,39474.0776588023,-107.785095827534
"2673",2673,84,7,929.572978319519,"NA",2,18842.2220816442,-60.5155721441937
"2679",2679,100,3,403.160956320196,"SA",4,20723.438315606,-74.0258803294054
"2682",2682,36,7,895.08011664553,"NA",1,46532.7667568112,143.252329192816
"2685",2685,77,2,442.464229822271,"NA",3,38724.3931142958,69.0866784680838
"2686",2686,53,5,482.995823084868,"SA",4,38342.9985410264,-245.378552424476
"2688",2688,24,12,1683.18285852207,"Asia",2,59465.33250573,79.8082543583314
"2689",2689,63,9,1083.18837491401,"Asia",4,48720.8997906097,-85.3644058840939
"2690",2690,5,5,695.874644269007,"SA",3,66091.1245922155,-17.8925993916948
"2692",2692,46,12,1374.94371676578,"NA",2,67915.9810770429,-232.6144049622
"2693",2693,11,7,1163.03603570946,"EU",3,22449.2833486246,171.265250295522
"2694",2694,84,8,1102.20988996248,"NA",2,93036.3126752987,61.5253147010246
"2695",2695,4,5,964.616402569782,"EU",2,41653.9720160966,208.280428715215
"2696",2696,2,4,598.537098008167,"SA",2,97253.3600307587,-39.5429596323777
"2697",2697,29,4,580.30038290989,"Asia",4,27805.9869143211,-41.6260344358765
"2698",2698,8,6,636.262010805568,"SA",2,2550.5012729459,-177.918589159472
"2699",2699,80,5,761.901387676854,"NA",4,96016.3895474353,29.8406037890804
"2705",2705,41,11,1318.95407584183,"EU",2,19914.7252972489,-113.007983279002
"2709",2709,54,4,500.490343837207,"Asia",2,13593.3245684293,-105.275302636007
"2710",2710,90,9,912.613785978443,"Asia",2,2476.63788687182,-363.4122463652
"2711",2711,54,5,933.067850238765,"Asia",2,73260.8262076993,211.813079153841
"2713",2713,94,9,1233.2321352036,"Asia",3,80077.0947431624,-21.5414228836089
"2714",2714,1,4,506.547994116857,"SA",4,48707.951695771,-21.9555373284284
"2715",2715,39,8,1097.51889378075,"SA",3,35503.7658730564,48.8149692430782
"2716",2716,95,11,983.637388035118,"Asia",4,938.852125826525,-460.621719723759
"2717",2717,38,9,1013.7409863497,"EU",3,54593.1455024534,-154.555737576132
"2718",2718,2,5,660.827448546993,"EU",2,72368.0157415357,-7.28246401430658
"2720",2720,5,5,467.466004550937,"EU",2,94188.9744889678,-234.552083188157
"2721",2721,51,4,456.440488260123,"EU",3,64107.0504895442,-72.7888809590134
"2722",2722,16,10,1148.98822232597,"EU",4,3398.02132328879,-151.830289446769
"2725",2725,56,4,571.186855896545,"Asia",3,96557.9235058492,36.5467092316507
"2726",2726,7,7,813.243722048096,"Asia",2,4652.87595486757,-100.560802475748
"2727",2727,8,7,1107.58231927961,"Asia",1,41187.5431404454,358.839136310277
"2728",2728,21,11,1512.51722745143,"SA",2,92270.6574354807,-10.3633981157584
"2730",2730,47,13,1822.53601836923,"EU",2,60750.2547954982,128.528144781558
"2731",2731,26,3,435.477397873218,"Asia",4,54026.5385421538,-96.679601878826
"2733",2733,54,6,998.550268328286,"EU",3,19800.1800524625,211.261206728771
"2734",2734,46,12,1258.24142878135,"Asia",2,59457.014737447,-312.944608551665
"2736",2736,44,11,1660.33729975748,"EU",2,23750.9978451321,202.411814721874
"2737",2737,81,6,882.861237587622,"Asia",4,18711.1965502126,56.9877885018824
"2738",2738,67,10,1713.67896460157,"Asia",2,3061.57886629784,331.169744735029
"2741",2741,44,12,1542.20903892653,"EU",3,93771.6800711893,-109.517771854736
"2743",2743,55,6,706.723889742518,"Asia",3,87103.2832202178,-127.872476152521
"2744",2744,10,7,769.343770414927,"Asia",4,20014.5606353343,-194.243935133328
"2747",2747,57,6,745.626890212646,"EU",3,20977.219619385,-98.3153807323944
"2748",2748,30,5,814.807552407979,"Asia",4,23951.1459124808,145.810017605451
"2749",2749,93,9,1627.88254902246,"Asia",3,75404.4541090191,366.140076337988
"2750",2750,29,5,432.57446299875,"Asia",3,47345.5527340199,-223.268391021135
"2751",2751,64,9,1234.40207358817,"SA",4,74694.9208074943,-38.2678916656948
"2753",2753,76,4,653.685169379571,"Asia",1,12121.1325973535,318.683174492224
"2754",2754,37,7,821.112044394403,"NA",2,53753.5696007959,-178.94436017654
"2755",2755,40,9,1565.79289529955,"Asia",3,63203.6786283196,320.70336373386
"2759",2759,66,10,1421.42403624191,"Asia",2,42566.6001299776,114.990907190526
"2760",2760,48,12,1475.08152787322,"EU",2,49647.2335993848,-154.572233996837
"2764",2764,23,12,1740.1346520397,"Asia",4,61747.435699522,109.511564386924
"2765",2765,16,9,999.052454751329,"EU",2,1480.11705112201,-238.20191828205
"2766",2766,57,7,1084.09420720333,"SA",2,1954.54588440573,173.605657813041
"2767",2767,18,10,1438.76396311659,"SA",2,27186.710300857,77.3017672708143
"2768",2768,81,4,758.1371417924,"EU",1,75580.6475187291,324.753192050608
"2770",2770,80,6,648.794450867195,"Asia",3,34925.1206876915,-146.890115217054
"2771",2771,60,7,1095.30931317338,"SA",3,20462.3894156604,132.065167415804
"2772",2772,28,4,530.103497171934,"Asia",2,15518.7348063919,-85.1021275078532
"2773",2773,97,12,2013.6885353729,"NA",3,6814.79971475294,445.403646914642
"2774",2774,70,10,1517.65164263014,"NA",4,17835.191329174,164.685738353986
"2775",2775,84,7,1080.93369475545,"NA",4,87028.5510585678,84.3039808753514
"2776",2776,37,8,1305.1393608912,"EU",4,52846.3776788358,132.610944881299
"2777",2777,75,3,270.652611011028,"Asia",4,67367.6665061668,-131.089271008928
"2778",2778,25,2,352.443383561567,"Asia",2,70910.5057843288,6.17404866672643
"2780",2780,66,10,871.077670043327,"NA",2,78133.0849919454,-425.961068964639
"2781",2781,85,7,663.110896226944,"EU",1,16170.6032163778,-145.845425058221
"2783",2783,46,11,1923.75544303673,"NA",2,85409.4072611087,385.815126507488
"2785",2785,61,8,1051.16635358826,"EU",3,97494.1656728263,-39.4681023113201
"2786",2786,26,4,436.70023545019,"EU",1,29266.3375166722,85.7623724709725
"2790",2790,52,4,532.383242931991,"Asia",1,72084.3904810126,139.547673090182
"2791",2791,59,7,1265.6554616159,"NA",4,39830.842442167,258.90206012459
"2795",2795,75,4,636.399734389487,"Asia",4,80409.3347887583,88.1018377354675
"2796",2796,14,9,1144.48922251471,"NA",4,63407.3151856,-95.4482690325772
"2797",2797,9,6,1091.14309505162,"NA",4,96600.1174447727,247.824613993282
"2798",2798,22,12,1257.63617866547,"EU",1,88233.8964485347,-186.548303591265
"2799",2799,75,1,229.8799922665,"Asia",3,33990.7562810776,8.95463362653462
"2800",2800,66,9,1085.50160041157,"EU",3,59364.4016638552,-133.690676654293
"2802",2802,38,7,996.669389302637,"EU",2,49036.8121918039,-31.9531667953966
"2804",2804,59,6,854.862815553804,"NA",1,69589.7769909231,186.020506065965
"2805",2805,12,8,1021.2185266824,"SA",3,23066.6912121812,-134.468801864009
"2806",2806,4,5,447.493270792005,"Asia",4,80912.9917944577,-270.963974745205
"2807",2807,72,11,1699.42429928717,"EU",3,15528.8909172043,191.745535170986
"2810",2810,25,4,665.529004953379,"Asia",2,35091.9947017059,112.393814713696
"2811",2811,51,3,324.024600496092,"Asia",2,98469.6033458335,-138.119655966259
"2812",2812,34,7,1086.37877998678,"Asia",2,44194.2368757441,114.612693334228
"2815",2815,79,4,441.278646188337,"Asia",1,60818.441431436,55.4257172468911
"2817",2817,45,12,1448.31855985968,"NA",4,57865.8310595497,-145.293587149364
"2818",2818,54,5,784.166917175052,"NA",1,5958.8538870716,306.804290597181
"2819",2819,11,8,1401.28108399336,"EU",3,61532.7238019574,310.748549819619
"2821",2821,57,6,739.861424776917,"EU",2,39876.4641261147,-96.5662189779074
"2822",2822,31,5,832.39167320954,"Asia",4,49934.101832381,70.0547728723687
"2823",2823,32,5,868.3205809056,"EU",4,40601.5253300609,184.959914408398
"2825",2825,1,4,480.053830869714,"EU",3,90799.1414581358,-161.646693292959
"2830",2830,68,10,1118.67720407236,"EU",4,17192.0492080331,-268.270071081791
"2831",2831,57,6,830.501589580488,"Asia",3,89927.3767159218,-26.5552635952625
"2832",2832,47,12,1696.75173080207,"NA",4,71788.1187081677,100.550128177611
"2833",2833,40,9,1473.68290009677,"NA",2,73608.0043084624,216.496896671255
"2834",2834,59,7,969.974110887777,"SA",2,31224.9789209934,-23.7333295544396
"2835",2835,88,7,1009.75172005498,"EU",1,15400.17972251,287.709788661691
"2836",2836,5,6,502.565709173963,"NA",3,53334.4803095344,-257.085138731155
"2837",2837,56,5,856.777206270252,"NA",2,11575.1124796767,148.080551958888
"2839",2839,4,4,540.805603714774,"Asia",4,22552.6191207343,-87.2526592217102
"2840",2840,96,11,1091.99596892597,"EU",3,32110.9136643279,-359.407511087663
"2842",2842,44,11,1138.17937188766,"EU",4,97103.1305870488,-357.195236010572
"2843",2843,7,6,711.374415268302,"EU",2,95356.3249288299,-113.309837389457
"2846",2846,34,7,728.9555401998,"NA",1,82613.7496929117,-2.73265682620433
"2847",2847,37,8,1390.1973827721,"Asia",2,18150.5734871628,319.077909713587
"2848",2848,3,5,558.772642927283,"Asia",2,90918.1321637956,-149.925036723447
"2850",2850,9,8,646.317639244195,"SA",3,56786.0008998408,-404.436402377611
"2851",2851,19,10,1091.13282694812,"EU",1,96496.4348981702,-80.9579691914255
"2852",2852,94,9,952.073836380818,"NA",1,54026.9833839331,-131.252988010888
"2854",2854,60,8,1223.81258248724,"NA",2,1145.29459026642,156.933750772444
"2855",2855,12,7,1047.43157177664,"EU",4,14609.2681517908,86.1373499260746
"2858",2858,55,5,715.187971846648,"EU",4,27066.8814831104,13.9229400418403
"2860",2860,26,4,681.653462524649,"Asia",2,50732.3850735237,119.805585935454
"2861",2861,33,7,737.09763933892,"Asia",3,13105.1394699414,-260.522023471731
"2862",2862,87,8,906.930563013412,"EU",3,79243.4636235978,-244.006735689013
"2863",2863,9,8,953.10682390756,"NA",1,23853.7590202424,122.46883964818
"2868",2868,74,14,1799.86375018285,"Asia",4,80231.6286702007,-24.235934402491
"2869",2869,8,7,1244.67779704308,"EU",3,46682.0075649284,270.569162143329
"2870",2870,82,5,591.141505478297,"Asia",2,20379.3755741164,-148.198832492054
"2871",2871,66,10,834.111895967081,"NA",4,63144.8410736877,-474.181412195276
"2872",2872,20,12,1555.22325591511,"Asia",2,50075.6599812938,-7.70649622594442
"2873",2873,69,11,1830.12339253029,"Asia",4,12785.6614195118,362.857763053258
"2874",2874,81,6,594.077899818746,"Asia",3,88144.0675126549,-249.190001464487
"2878",2878,30,5,752.141588470321,"Asia",1,9181.13562960271,230.568318172333
"2880",2880,23,12,1605.66960810322,"NA",3,49418.8395924345,-25.0149908615349
"2881",2881,35,7,721.595707087502,"NA",2,60276.8905464036,-219.955215375663
"2888",2888,87,9,761.106541675037,"Asia",2,11716.3325385929,-409.72644676118
